,y_true,event_summary,explanation,pred
1924004,incorrect/notinstalled/unavailablepart,Technicians inadvertently installed a 7th stage solenoid valve onto a 10th stage position during an engine repair. Both technicians failed to distinguish between the two similar valves available during the installation process. The aircraft has since been released to service after passing engine tests.,"The problem stemmed from the mismatch between the valves selected (7th stage) and the position on the aircraft intended for them (10th stage). This is categorized as a maintenance error where a part with wrong specifications was installed, which directly relates to a Specific Part being handled by the technician.",incorrect/notinstalled/unavailablepart
2246115,airport,"While performing pre-flight activities on a runway and run-up area, the aircraft's left main and nose wheels became stuck in hot tar covering a gap. After attempting to free the aircraft with maintenance's assistance using a tow bar and pickup truck, the flight crew completed a visual inspection, found no damage aside from residue, and the aircraft continued its flight. The incident was exacerbated by a missing cap pin placard that blew out of the flight deck due to a gust of wind.","The incident was categorized under Airport because the root cause was the physical condition of the airfield, specifically a gap covered in hot tar that caused the tires to sink and the wheels to become stuck.",airport
1884137,airspacestructure,"During a certification flight, an instructor reported that a VFR aircraft was told to maintain 2,500 feet or below while it was actually flying in a Minimum Vectoring Altitude (MVA) area of 1,500 feet. Although the aircraft continued on its heading, it eventually entered a sector where the MVA increased to 3,000 feet, violating the previously issued altitude restriction.","The incident was categorized as **Airspace Structure** because the flaw in the routing setup caused the aircraft to physically climb into an area where the designated minimum altitude was higher than the allowed altitude, creating a conflict.",airspacestructure
1927681,mel,"A pilot refused to operate an aircraft due to excessive heat caused by a failed air conditioning pack, despite the maintenance team being unavailable to fix it at the destination airport. The aircraft's AC pack had a history of unreliable operation and was previously logged on the Minimum Equipment List (MEL), yet neither the Auxiliary Power Unit (APU) nor external air cooling was sufficient for safe passenger boarding during summer conditions.","The primary issue is a conflict between the current physical operating conditions of the aircraft and the operational rules governing minimum equipment, which is categorized as MEL.",mel
1798556,chartorpublication,"An airline pilot reported a diagram on the NIITZ 1 RNAV departure chart incorrectly depicting the location of the FLAAR waypoint relative to a lake compared to the Engine Out (E/O) page. Analysis showed the E/O page contained misleading terrain and incorrect distance data without a 'Not To Scale' warning. Experts agreed that the mixing of fixed altitudes, navigation rings, and terrain features created dangerous confusion for pilots attempting to visualize emergency procedures.",The primary problem is a specific Cherry-pick of a company publication error. The narrative explicitly notes two conflicts: the incorrect depiction of terrain features creating a misleading visual model and the omission of the 'NOT TO SCALE' disclaimer.,manuals
1812224,logbookentry,"The pilot reported that maintenance personnel incorrectly recorded or failed to timely record the details of an engine change and annual inspection in the aircraft's logbooks. After maintaining custody of the file throughout the maintenance period, the pilot later discovered errors, inconsistencies, or alterations in the entries when reviewing the records.","The report specifically highlights faults in the history of the aircraft's maintenance documentation, such as when work was logged, rather than the physical maintenance performed itself.",logbookentry
2171597,humanfactors,"Flight crew failed to send the required Dangerous Goods Acknowledgement Code for a passenger's battery-operated scooter. A month later, a second scooter was loaded on the aircraft, but neither the crew nor ramp personnel ensured the correct forms were obtained or completed.","The issue stems from a lack of proper communication and documentation regarding the presence of hazardous materials on board, resulting in a breakdown in safety procedures.",humanfactors
2088730,procedure,"The flight crew received a descent clearance and RNAV approach clearance over 40 miles out while descending toward Jackson Hole. Due to a lack of a standard terminal arrival route (STAR) and undetermined frequency changes, the crew found it difficult to track the clear altitude restrictions and entered a descent to 9,500 feet against regulations, triggering a low altitude alert from ATC.","The report explicitly states that without a STAR, there are no 'hard altitudes' at the Initial Approach Fixes, making it difficult for pilots to know at what altitude they must intercept the approach path, which contributed to their confusion.",airport
1796375,environment-nonweatherrelated,"An air traffic controller experienced a loss of separation between two aircraft due to the controller's aggressive turn to avoid traffic while descending an aircraft. The incident stemmed from the controller trying to fix a sector handover and a last-minute altitude restriction caused by understaffing, leading to a near-miss in high traffic areas.","The incident is primarily Human Factors because the controller admits the error ('Solely my fault') was caused by a decision-making failure, where the turn was too aggressive and the controller failed to account for wind speed impact, despite good instructions being available.",humanfactors
1932055,humanfactors,"A general aviation aircraft on an arrival near Tampa was detected by a commercial airliner's TCAS, triggering a Resolution Advisory (RA) to climb. The commercial pilot followed the RA, informed ATC, and the traffic was identified as a small, blue non‑compliant aircraft that had stopped broadcasting via Mode C.","The conflict arose from a non‑established small aircraft entering the path of a regulated commercial flight, which was outside the controllers' radar scope due to its Mode C duty cycle.",airspacestructure
1860100,logbookentry,"A pilot discovered two bent N1 fan blades during a walk-around in ZZZ. The incident was logged as new damage, but Maintenance Control informed the pilot that the blades had actually been broken and reported previously. The pilot flagged this as an unsafe practice because there is no official record to show the ship's history of deferred maintenance.","The core issue is not the bent blades themselves (which would be Aircraft) nor the request to share data (which would be a Procedure). The specific problem causing the pilot's concern is that the record-keeping failed completely; the report explicitly cites the lack of documentation as the primary problem, culminating in the recommendation for 'an ongoing list available to pilots in the maintenance log'.",logbookentry
1889479,ambiguous,"A B767 encountered wake turbulence from a preceding B777 on parallel approach at San Francisco, causing the aircraft to roll abruptly to the left and then to the right. The pilots recovered using opposite aileron and completed a safe landing. The report criticizes the lack of lateral offset and horizontal spacing between the two aircraft during the approach.","The pilots were too close to the previous aircraft horizontally and utilized insufficient lateral offset, which resulted in an unsafe separation and the encounter with vortices.",procedure
1875590,airspacestructure,"A controller assigned Aircraft X to a heading and altitude at a lower altitude than required by the Minimum Vector Altitude (MVA). Although the MVA map was displayed beforehand, the aircraft entered a prohibited airspace area now set at a lower altitude, causing an automated alert to fail and a manual rescue climb to be necessary.","The primary problem is Staffing because the controller explicitly states that the incident occurred due to a lack of time provided by management for reporting, specifically citing this staffing factor.",staffing
2156219,manuals,"The flight crew received an unknown EICAS smoke warning, 'BBAND SYS SMOKE', along with advisory messages for the Pilot Visual Displays. They were unable to find these warnings in the Quick Reference Handbook or aircraft manuals. The crew resolved the issue by coordinating via SATCOM text messages with dispatch and Maintenance Control, though the situation created uncertainty about whether a medical diversion was necessary.","The ambiguity lies in the section 'Suggestions,' where the flight crew explicitly recommends adding all possible EICAS messages to the QRH. This indicates that the Manual lacked the required documentation to assist the crew in this emergency, directly causing the reliance on after-the-fact coordination.",manuals
1916742,companypolicy,"A sector became severely overburdened with traffic and weather balloons leading to reduced service and conflicting communications. The controller attempted to coordinate a solution with management, but their requests were ignored. Ultimately, five other sectors were not utilized to relieve the overload.","The inability to manage the workload was caused by the lack of personnel (Controllers) available to handle the high traffic density. The report specifically notes that staffing limitations made it impossible to manage the incoming traffic, indicating Staffing as the primary causation.",staffing
