,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1235040,mel,I am writing due to the situation I had with preflighting this airplane; Aircraft X; a Hawker HS-125-800XP; January 2015 in ZZZ after finishing the maintenance issues on another Hawker-800; Aircraft Y. When I started preflighting Aircraft X; right away I could see the damage on the bracket that attaches to the Nose Gear Strut.  I have already written two company reports on this and have seen this on Aircraft Y in ZZZ three days earlier and another pilot wrote it up on Aircraft Z; another Hawker-800; the same day when I told him about our airplane having this issue. Now on Aircraft X; this time the bracket wasn't completely cracked around the relief hole for the grease zerk like the others; but was instead bent and had the paint worn off and what appeared to be a stress crack on it. It appeared that the bracket had shifted slightly around the strut and on one portion of the relief hole; it had bent around the strut by the zerk [grease fitting].To confirm this I went over to look at both Aircraft Y and Z where a few days prior a new bracket was installed on the strut. On both of these two airplanes; that relief hole around the grease zerk was not bent but straight and set right over the grease zerk and not cocked to one side and bent like on Aircraft X. Now the thing that bothered me was that this airplane had been preflighted three days earlier by two [Flight Test] pilots and I had told these two about the bracket being cracked on Aircraft Y and how [is it] they couldn't see it bent like this; especially after I pointed it out on another plane; [had] surprised me. Either way I wrote this item up. The other issue we had with this airplane [Aircraft X] is that when we tested the toilet; it wouldn't flush. There was no sound of the motor running but we had power in the lavatory and no CB's were out. So even if we hadn't had the Nose Gear Strut bracket issue; there was no [way] we could have done our passenger leg after our ferry to ZZZ1; as we were flying cross country. Or if we did; we would have to stop one or two times at least for myself as my bladder could never make this long of a flight. I am sure this would not have pleased the owners. We also had a couple of other minor MEL issues and addressed these too. Now I point this issue out as this is the 5th time I have written up an airplane over this [nose gear bracket] in the last few months. I feel there is something causing this problem but either way it needs to be addressed by maintenance when we are at a service center. I have been told they have a list of items they check and this should be one of them.,
1246657,mel,The MEL for 28-13-01b states to start one engine then shut down the APU. After the first engine start and shutting down the APU the APU SOV OPEN status message remained and threw me off. I started the second engine via cross bleed and completed the pre taxi and taxi checklists. The APU SOV OPEN status message remained after completing the checklists - still throwing me off. I checked QRH Vol. 1 EICAS Message List which listed the message as NA. I read the MEL again which stated 'for an APU fuel feed valve inoperative open' - this seemed to make sense and the First Officer and I discussed that the valve is open and it matches. We decided to continue. Enroute the APU SOV OPEN message was still nagging at me. I reread MEL 28-13-01b again and 28-13-01a for comparison. I referenced the CRJ900 FCOM looking up the APU SOV OPEN status message. The FCOM states the message indicates the APU shut off valve is open with the APU not ready to load. The message typically comes on when the APU is initially energized via the APU PWR/FUEL switch light and goes out when the APU is running and generator operating. After a few moments I came to the conclusion the aircraft is indicating the APU PWR/fuel switch is still energized and providing power to the APU. Upon arrival I decided to shut down the aircraft completely to see if that would reset the aircraft and the message. I didn't expect the APU to start since I was under the impression that the APU has not been shutoff - I did not attempt to start the APU after arrival. After shutting down the aircraft the power up was normal. The APU SOV OPEN message was not displayed until I pressed the APU PWR/fuel switch light and remained on until the APU generator came online which is normal. I stopped the APU pressing the start/stop switch light which brings the message back; waited for the APU door to close and pressed the APU PWR/fuel switch light to de-energize the APU ECU and APU fuel pump and close the APU fuel SOV - nothing happened. This matched my suspicion that the APU remained powered and the fuel SOV is working.I also checked the MCD for current faults; fault history and aircraft history. No APU or fuel system current faults or anything in the fault history for our flight or the flight before; however the aircraft history / fault history page was indicating an open wire/sense for the APU start motor that occurred intermittently 9 times on the flight. The same was also present for the previous flight and the 118 flights before that.I contacted maintenance control and told them my concern that the MEL was incorrect; the MEL was for an inoperative fuel SOV however the SOV was in fact working and it seems the APU PWR/fuel switch is just not responding to being switched off. I also stated the QRH lists the APU SOV OPEN status message as NA which meant two things - 1) there is no MEL applicable to this message and 2) the message is indicating a configuration that is abnormal and is resolved by pilot actions (QRH Vol. 1 ECIAS Message) The maintenance (MX) controller disagreed and stated this was the correct MEL for the message and that the NA means the MEL is the result of another message. The mx controller and I did not agree the aircraft was legal to fly; he stated it was while I contended it was not. The mx controller decided against calling contract mx out to the aircraft and our phone call was ended. I shutdown the aircraft again to see if I could repeat the same events with the same result. I had the same results - the APU PWR/fuel switch did not respond to being pressed to de-energize the APU.  I received a call from the mx control supervisor. I had the same conversation with him that I had with the previous mx controller. After explaining what I was seeing to the supervisor he also reiterated that this was the correct MEL and the aircraft was legal to fly. During our conversation he also stated he doesn't know what fault history message means - it is present on all the aircraft. The phone call ended without resolution.I called crew support to be connected to the flight ops manager. Crew support left a message with the technical manager to call me and the call was ended. I got a call from the pilot policy manager and told him of my concerns. A conference call was initiated with the mx supervisor. During this call the manager tried many times to find a resolution - in the end the mx controller was unwilling to except that the MEL was incorrect; or that a different problem was causing the message to be present; and I wasn't convinced this was the correct MEL. The mx controller was also unwilling to have contract mx come to the aircraft. The call was ended without resolution again. I wrote the aircraft up; indicating the APU PWR/fuel switch was not de-energizing the APU. We swapped into another aircraft for the flight.,
1257463,mel,We had a Potable Water System Pressurization Air Compressor on MEL. During Removal/Replacement (R/R); found [Air] Pump and Cannon plug very hot to touch. MEL does not require a Circuit Breaker (C/B) to be pulled or the Cannon plug to be removed. I think this creates a fire hazard.  If pump is seized; as this one was; an overheat condition is possible.  This is much more likely on the ground as the pump is only powered when the APU and engines are 'Off'; but if the timing was right; a fire could start and remain undetected until after take off.,
1260470,mel,I was told that the 'O' ring was non-deferrable and the purpose was to keep the Fire Handle secured in the stowed position in the event of turbulence.  So I'm filling out a report to find out if that is the case as I question the deferral.  To be corrected in 6;000 Flight Hours (FH) seems excessive if the purpose is to keep the handle stowed.   The engine will shut down if that handle falls.  This is the second aircraft I found with a damaged 'O' ring in the last three weeks.During the flight from ZZZ I scanned the Overhead panel.  I noticed the rubber 'O' ring on the Fire Extinguisher handle was broken- missing a chunk of it. I wrote it up.  Maintenance Control deferred it under an Administrative MEL.  The Corrective Action was that they removed the remaining damaged 'O' ring. That rubber 'O' ring supposedly helps keep the fire extinguisher handle stowed. The engine will shut down if it falls. That 'O' ring should not be deferrable if that's the case.,
1265709,mel,On taxi out after crossing runway 27R on the way to 27L we got an ECAM fault that said 'RIGHT WING OVERFLOW.'  We did the procedure and the overflow still existed. We verified this by looking out the cockpit window as well as ATC relaying visual confirmation from other aircraft. I shut down the right engine hoping this would stop the leak. I quickly called Mainteneance to ask their advise and they said taxi it back in on one engine if I felt comfortable. Unfortunately even with the right engine shut down the overflow still existed although it had diminished. At this point I knew that I could not taxi an aircraft spewing fuel back to the gate so I started the APU and shut down the left engine along with all the fuel pumps. This finally seemed to bring the overflow to a slow drizzle and it eventually stopped. My First Officer was a great help throughout this ordeal with good insight and advice as we needed to keep a lot of people in the loop: Maintenance; Ground; Operations; Flight Attendants; passengers; ETC. Firetrucks were dispatched and an airport fuel clean-up crew also came. The fuel clean-up was started and it was decided by the Airport Authority that the tug would make a practice pull to see if we could be towed without any fuel sloshing out of the wing. We were tugged a few hundred feet and unfortunately fuel overflowed from the wing. Airstairs and 3 busses were called to remove the passengers from the aircraft while we sat on the holding area next to the departure end of 27L. We all deplaned without an further issues and the passengers were taken to the terminal. I don't know exactly why the right wing was overflowing but I do know that an MEL had just been removed concerning a fuel pump or valve. (I don't remember which) I believe this maintenance that had just been done must have had something to do with the overflow.,
1269141,mel,Discrepancy showed both forward coffee makers inop. I had used MEL to defer no-water at the coffee makers. I had confirmed there was water at the Forward lav so the lav would stay in service. I did not see any errors in the paperwork.I learned that Aircraft X was the aircraft that had frozen flight controls due to a water leak. [Later]; it became clear to me that had Fault Isolation Manual (FIM) 38-11-00-810 been completed and if there was a water leak it may [have] been discovered preventing the inflight emergency. At the time I completed the MEL I was unaware that potable water could cause a flight control problem.  On the date I placed the potable water on MEL; I was not aware of the possibility of the Potable Water System leaking and freezing causing stiffness of aileron cables. Changing the MEL to require an inspection for leaks if there is no water in the forward monuments [lavatories] may increase awareness and prevent a future occurrence.,
1280635,mel,Picked up the aircraft with the AC [Generator] bearing R [Right] MELed. I reviewed the MEL requirements and found that we could continue for 20 flight hours. I briefed the First Officer and we continued our planned schedule. After landing in Airport ZZZ we deferred the Right Windshield (WS) Heat due to an inflight failure on the previous leg after a Right WS fault light illuminated. Maintenance Control scheduled a Ferry flight to Airport ZZZ1 for maintenance. During taxi-out the Ground Controller reported smoke coming from our Right engine. We noticed a high pitched whining sound similar to bearing failure type of noise from the right side as well. We shut down the Right engine and requested CFR to assess the Right engine smoke issue. I determined that we would not continue to taxi at this point and shut down the other engine. The CFR personnel suggested utilizing Halon to cool the right AC Generator which we had determined was the source of the smoke. They gained access to the generator by lowering the Right engine nacelle. There was significant burnt paint and charring around the generator cooling port on the nacelle. After 20-30 minutes; CFR said we could reposition the aircraft to the FBO ramp which we did via a tug. I contacted an Assistant Chief Pilot (ACP); Maintenance Control; and Crew services to advise. We were shut down and sent to the hotel. If this is a reasonably expected outcome from the AC [Generator] bearing warning light; then it should not be an MEL item; as the light indicates an eventual bearing failure. If we had gone airborne there is no doubt that it would have been an Inflight Fire/Engine Shutdown event.[Recommend] the AC bearing light should not be on the MEL. In the future if I am faced with this MEL item; I would refuse to fly with it based on this experience.,
1282836,mel,[Flight] was released with MEL - main gear uplock springs. This required a speed restriction of 270K/M82 that [computer software] complied with on the release. However; after takeoff; crew sent the following message;WITH MELXX32D IT HAS US AT 270/.82 CORRECT.... AT OUR CURRENT WT WE HAVE TO FLY AT 280KTS TO STAY ABOVE STALL BAR. THIS OPS RESTRICTION CAN NOT B COMPLYED W/ AT OUR WEIGHT.I advised the Dispatch chief of this issue. Obviously the flight will maintain a safe speed while enroute; regardless of the MEL requirements. Sabre programming should review the weight/performance issues with this MEL.,
1283146,mel,Our flight was dispatched with MEL 32060 (main gear uplock spring missing). Though flight can be flown with gear up; MEL restricts it to max gear extend speed of 270/.82. Feeling the flight plan needed to better account for this restriction the Captain was on the phone with dispatch for quite some time going over scenarios and safety issues associated with this limitation. While this was going on we agreed that the FO and I would head to the airplane to run preflight and setup checks. 10;000 lbs of fuel was added at Captains request per our situation in regards to the MEL issue. Halfway into the flight the other IRO and myself entered the cockpit; at the completion of our rest period; and shortly after we began discussing the speed restriction as it pertains to anything that we might have overlooked. We then sent a message to dispatch about our concern that if we had to divert from a critical point to an alternate the planned divert speed would be limited to 270 and had that been accounted for? Apparently it was not and we were told this info would be passed on to the Sabre people. We asked for a follow up response if it were possible for them. Though we didn't hear back before conclusion of flight. The FOM does say Sabre takes into account MEL and performance adjustments for weight and speed; though it didn't in our case. We could have used better VVM earlier on in digging deeper into being sure we accounted for all the issues the MEL would affect.,Flight operated with MEL 3232D. The MEL was for a missing main gear up lock spring and required that the entire flight be operated at or below the maximum gear speed of 270KTS/.82M. My assumption for the restriction is that it protects against unanticipated gear deployment on the affected side. I also assume that while such a threat is remote; there would seem to be at least a more elevated risk of such an event occurring or else the MEL would not include the speed restriction. During the early preflight planning stage the Captain phoned dispatch to inquire what our fuel burn might look like if the gear were to partially deploy at ETOPS CPS. I believe the Captain also inquired as to the point at which the gear might be able to deploy and the a/c would be able to continue on. Such questions seem reasonable to me. In the event that our gear drops while operating on a 180 ETOPS over Polar Oceanic airspace with MEL 3232D what might the burn look like with respect to the critical points. Getting any sort of even a ballpark figure seemed very difficult. What was missed by all during this discussion was that our ETOPS times/distances were figured using a speed of 329KTS. This was in violation of what the MEL required. I'm not sure if this means that the flight failed to comply the required 180 ETOPS rules. The error was noticed in the vicinity of our final CP and a message was sent to dispatch at that time.My understanding of SABRE is that it will account for MEL restrictions. With respect to ETOPS calculations SABRE does not appear to account for MELs. Another issue with the SABRE flight plan is that while it never showed a speed above .82M; it did not seem to be able to determine where in the flight the speed would transition from KIAS to M. The flight plan showed .82M at the initial FL280 cruise altitude. At FL280 and approximately 610lbs we were 270KIAS/.69M. The actual transition to .82M did not occur until about 9 hours into the flight. Prior to that point the a/c was limited to 270KIAS. The fuel burn for the flight was mostly accurate with SABRE calculations; but the flight time was off by 30+ minutes. Is it possible for SABRE to compute a cruise speed in both KIAS and M for different parts of a flight? Another potential area of concern with the 270KIAS/.82M restriction for such a long haul flight is for turbulence. The turbulence forecast along our route was good; but having the MEL speed restriction meant that we would be operating below the recommended severe turbulence penetration speed for the first 9 hours of our flight. Much of that time would also be spent in remote ETOPS Polar airspace. Any type of encounter with significant turbulence would create issues that the MEL and SABRE may not be accounting for. At the initial cruise altitude of FL280 the 270KIAS was only about 10KIAS above the start of the yellow band. This is not the most comfortable spot to be cruising around at while at such a heavy weight. Does SABRE and Dispatch consider turbulence penetration speeds while flight planning with the MEL restriction? Should some amount of ADD fuel be required for such contingicies?Finally; with respect to MEL 3232D; is there any extra consideration with respect to terrain and partial gear deployment? Polar flights often cruise over parts of Greenland during the initial hours while still at very heavy weights. While very remote; what might gear deployment look like over Greenland while operating with the MEL? If the risk for such an occurrence is no greater than during a regular flight then why does the MEL restrict our speed for the duration of the flight? A little more help in the preflight stage would have been appreciated and might have given the crew a better understanding of the best option available in the event of any unplanned inflight issues. There are times during Polar ops were you are mostly on your own and the ability to communicate with dispatch in a timely manner is not even remotely possible.
1285522,mel,This flight is this inbound flight of an out and back trip. The MEL 29-24-01 was still in effect during this flight and as on the previous leg I could not complete a preflight alternate brake check accumulator check or confirm good pressure with the parking brake set. The same agencies were contacted and consulted with again and the information given to me was that the MX Check done by MX covered for my checks. No reference or procedure for crew in MEL 29-24-01. As before I made sure chocks and tug in place to back up parking brake until an engine was started. Incomplete MEL procedures led the crew to seek info and advice from other sources.,Leg #2 dispatched with Mel 29-24-01 Yellow system electric pump inop. Again; unable to verify brake accumulator pressure during Captains pre-flight check and on before start checklist due to MEL procedure causing brake accumulator pressure to be low/ inadequate. There was no guidance in (o) or (m) procedures for this MEL that addressed this. When the Captain asked the AMT about this; he said that the accumulator was good. More importantly; there are no alternate procedures for pushback to ensure both the normal & alternate brake systems are adequately pressurized. We did not have any problems with pushback or brakes during leg 2. Flight was uneventful.I believe the Mel procedure was inadequate in that it doesn't address maintenance's check being used instead of the Captain's pre-flight requirement to check the alternate brake system as well as; the pressure check on the before start checklist. There are no (o) procedures to tell crew how to properly check alternate brakes system and pressure on before start checklist. Additionally; it doesn't address alternate pushback procedures with this item deferred. There needs to be (m) and (o) alternate pushback procedures.
