acn,summary,primary_problem,rationale,text,group
1872703,"The flight crew experienced an uncommanded early descent while the aircraft was on autopilot and cleared for an approach[cite: 1]. The Captain immediately disconnected the automation and initiated a climb, receiving a minor GPWS warning during the recovery[cite: 1, 3]. The incident was attributed to an automation failure and documented for maintenance[cite: 2, 4].",aircraft,"This incident is classified as aircraft because the root cause was a mechanical or systems failure within the flight control and automation systems[cite: 1, 2]. Specifically, the autopilot initiated an uncommanded descent before intercepting the glide slope, which aligns with the ""Flight Control & Automation Malfunctions"" repeating issue for this category[cite: 1]. It is not classified as Procedure because there is no indication that the crew improperly configured the FMS or ignored SOPs; rather, the system acted without being prompted[cite: 1]. Furthermore, it is distinct from Software and Automation as the narrative points to a general system malfunction requiring a physical maintenance write-up rather than a specific database or software programming error[cite: 2].","Narrative 1 - 'FMS/FMC/Autopilot Failure. I looked at the instrumentation to confirm glide slope intercept and immediately recognized that we were descending early. I went to announce it to the CA (Captain) (Pilot Flying) who also recognized the situation at the same time. The aircraft was on autopilot; flying level; with VOR/LOC activated after being cleared for the approach into ZZZ. The aircraft; without being prompted; began to descend before intercepting glide slope at some point. The Captain instantly disconnected the autopilot and auto throttles; initiating a full power climb back to the intercept altitude. We received a call from ATC and received a minor GPWS warning as we were climbing. I feel that crew coordination; confirmation of what the aircraft was supposed to be doing and the reaction by the Pilot Flying (CA) were proper and allowed us to detect the situation early on. Because it was an automation failure; the aircraft will be written up for maintenance.'
Narrative 2 - 'FMS/FMC/Autopilot Failure. It was a dark night; but severe clear. Being intimately familiar with the ZZZ topography; I am keenly aware of the high; rising terrain between the Final Approach Fix and Runway XXR. The airplane started descending without pilot input. I immediately noticed this and announced out loud: 'Something is wrong!'. The aircraft was on autopilot; flying level; with VOR/LOC activated after being cleared for the ZZZ ILS XXR approach. Before intercepting the glide slope; the aircraft began to descend on its own without being prompted. I disconnected the Autopilot and Auto-throttles and initiated an immediate climb. Within seconds after proactively initiating the climb; we received a single GPWS: 'Terrain'; and seconds later; ATC called and said: 'Check Altitude' and gave us the Altimeter Setting (which was set correctly.) I continued and landed safely. I believe that this was an automation failure of some kind and that the immediate action taken was just. Emphasis should be made; and recognition of; the excellent crew coordination by both myself and a superior FO (First Officer) ameliorated what could have been a potential negative outcome.'",aircraft
1814136,"While relocating an airplane, the pilot experienced a loss of engine power and backfiring at 6,500 feet MSL[cite: 6, 11]. Despite attempting to troubleshoot by switching tanks and adjusting the mixture, the engine continued to run rough, prompting the pilot to execute a safe off-airport landing in a field[cite: 6]. A mechanic was dispatched to inspect the aircraft, which had been inactive for several years prior to its recent annual inspection[cite: 9, 10].",aircraft,"The classification of aircraft is appropriate because the primary problem was a total loss of power and rough running engine, fitting squarely within the ""Engine & Powerplant Failures"" subset[cite: 6]. The physical mechanical failure of the engine during cruise flight forced the emergency landing[cite: 6]. It is not classified as Incorrect / Not Installed Part because, although the aircraft had been inactive, there is no direct evidence provided of a specific botched maintenance action or wrong part installed prior to the flight[cite: 10]. It is strictly an aircraft hardware failure in the moment, differentiating it from Human Factors where pilot mismanagement would be the primary cause[cite: 6, 11].",Narrative 1 - 'I was taking delivery of an airplane that some friends had purchased and relocating it from ZZZ1 to ZZZ2. The first leg was to be from ZZZ1 to ZZZ3 via ZZZ4 to avoid restricted airspace. I completed the preflight and departed ZZZ1. I climbed to 6500 ft. MSL and about 35 minutes into the flight the engine began to lose power and backfire. I switched mags; switched fuel tanks; reduced power and adjusted mixture but nothing seemed to make any difference. At around 3;500 feet MSL the engine began to run smoothly again and I decided that I would land at ZZZ4 for maintenance. The engine began to run rough again and I opted to land in a field rather than overfly the city in hopes of reaching the airport. The off airport landing was made without incident. There was no damage to the airplane or myself. I secured the airplane and left a note on the nearby farmhouse door with my contact information. I was later contacted by the authorities and gave them the details over the phone. A passerby gave me a ride to ZZZ4 where I met a fellow pilot that gave me a ride back to ZZZ2. A mechanic from ZZZ1 is coming to inspect the airplane.I do not know what caused the problem at this point. The airplane had just completed it's annual inspection but had been inactive for a number of years prior. The preflight and engine run-up were normal and the airplane climbed well to 6;500 feet.I am happy with the outcome of my decision not to overfly a populated area with few options had the engine quit entirely.',aircraft
2111776,"While enroute at 40,000 feet, the aircraft lost both stabilizer channels and the associated trim[cite: 12]. The crew diverted and hand-flew the final 1,500 feet of the approach, requiring both pilots to apply 30-40 pounds of pressure on the yoke to maintain a normal glide path due to the aircraft being stuck in a nose-down trim configuration[cite: 12, 14, 15, 16].",aircraft,"This event perfectly aligns with the aircraft category due to the mechanical failure of the stabilizer trim channels, which is explicitly listed under ""Flight Control & Automation Malfunctions""[cite: 12]. The physical malfunction forced the crew to manually overpower the aircraft's control surfaces[cite: 15, 16]. It is not classified as Procedure or Human Factors because the crew successfully followed the checklist and worked together to mitigate an unavoidable hardware failure[cite: 12, 17]. The root cause was an internal mechanical systems failure, not an external Environment factor or a Company Policy issue[cite: 12].",Narrative 1 - 'Enroute ZZZ-ZZZ1; Divert to ZZZ2. 40;000 feet; lost both stab channels and associated trim. Followed checklist; landed safe on long runway in ZZZ2. Stab was stuck at .2. Normal for landing is .6. As we slowed the autopilot could no longer keep up.  Hand flying the last 1500 feet to touchdown. With the airplane trimmed in a nose down configuration; the right seat pilot helped me by pulling the yoke back. Approximately 30-40 pounds of pressure was needed to keep a normal glide path.This was my SIC's very first leg. He did a very good job with running the checklist and assisting me.',aircraft
1912278,"During cruise flight, the crew received a steady Stab Out of Trim annunciator light and subsequently verified the trim was not operating[cite: 18, 31]. After isolating the fault to the A autopilot system, they lost RVSM capability but safely continued their flight at a lower altitude[cite: 20, 23]. The crew noted a previous recurring write-up for the same issue that had been blanket-deferred via MEL rather than properly isolated[cite: 21, 22, 27].",aircraft,"The aircraft classification is assigned because the inciting incident was a hardware malfunction, specifically the A autopilot faulting and a stabilizer trim system failure[cite: 23, 31]. This falls under the ""Flight Control & Automation Malfunctions"" criteria for the aircraft label[cite: 18]. While there are strong elements of MEL and maintenance tracking issues in the aircraft's history, the primary problem for this specific flight crew's event was the active mechanical failure of the autopilot and trim system[cite: 18, 27]. It is distinct from MEL because the crew was reacting to an in-flight avionics failure, rather than refusing the aircraft on the ground due to an inappropriate paperwork deferral[cite: 18, 19].",Narrative 1 - 'During cruise; a steady Stab Out of Trim annunciator light illuminated. We accomplished the appropriate checklist. Contacted dispatch and the [flight operations] and determined that it was safe to continue the flight to ZZZ. Thanks to the [flight operations] inputs we also notified ZZZ1 center that we were non RVSM (due to no autopilot) and with their approval we were able to continue at FL340. On arrival into ZZZ we wrote up the malfunction. The avionics tech informed us that the aircraft had the same malfunction on DATE. The remedial action for that malfunction was to MEL both autopilots. Our Avionics tech was able to isolate that the fault was indeed in the A autopilot system and that the B would operate normally. After completing the appropriate documentation we continued our flight back to ZZZ2. Being able to consult with Dispatch and the [flight operations] was a force multiplier; it was the [flight operations] who remembered that our system failure would result in our no longer being able to be RVSM and our dispatcher was able to provide us with the information that if we had to descend from RVSM airspace we would still be able to complete the flight at the lower altitudes.I find it a bit concerning that there was a prior write up on DATE and they were unable to determine the system fault but instead just MEL'd both A/P's and sent it on its way. Our avionics tech was able to show us the message clearly showing that it was A/P A that was faulting and not B. The previous write up was at an outstation so there was probably time pressure involved to 'get the jet out' but if someone had taken a safety pause to run the appropriate check they would have isolated the fault instead of just MEL'ing the entire system. There was a moment of 'question' when operating the checklist. The first question statement 1) Is the stabilizer trimming? Yes; No. A point of discussion among us was that since we were in cruise and the air was calm we weren't sure if the stabilizer was or wasn't trimming? We eventually determined that by reducing airspeed there should be a change in stab trim. It was by doing this that we were able to determine that the trim was indeed not operating. I would recommend exploring the option of including a statement in step one to verify the trim operation before continuing to the next step. After working the problem from event to resolution on the ground and return to flight I am wondering as to the operation of the stab trim system and selected autopilots. Was this as it appears to be a case of A autopilot faulting but giving us the indication of a stab out of trim? If so then wouldn't changing to B autopilot have also cleared the fault such as the return to service MEL? Does there need to be a revisit to the Stabilizer out of trim checklist to address if it's an A/P fault as opposed to a Stab Trim?',aircraft
1979148,"While configuring on short final, the crew received a Flap Asymmetry EICAS message and a LE Slat Disagree Light[cite: 37]. The Captain discontinued the approach, the crew requested priority handling, and they executed a successful ILS landing on their second attempt after running the appropriate checklists[cite: 37].",aircraft,"This report is classified as aircraft because the root cause was a clear mechanical systems failure, matching the ""flap/slat asymmetries"" condition explicitly listed under the ""Flight Control & Automation Malfunctions"" category[cite: 37]. The crew was forced to abort their landing due to the physical inability of the aircraft's flight control surfaces to configure properly[cite: 37]. It is not a Procedure issue because the crew followed proper protocols by executing a missed approach and running the checklist upon identifying the malfunction[cite: 37]. Furthermore, it is not a Software and Automation issue because flap and slat disagree warnings generally indicate a physical hardware misalignment rather than a pure software logic error[cite: 37].","Narrative 1 - 'Configured on final and received Flap Asymmetry EICAS. Captain performed discontinued approach and briefed the crew on a plan. We requested priority handling and ran the checklist. Vectors to an ILS for an uneventful landing.'
Narrative 2 - 'On short final after final flap configuration (25); (as Pilot Monitoring) I noticed a LE Slat Disagree Light and verbalized it to the crew. The Captain announced that we were discontinuing the approach. We requested priority handling and ran the checklist upon completion of the missed approach procedure. We coordinated with ATC for extended vectors and came around for another ILS. The subsequent approach and landing were uneventful.'",aircraft
2006760,"Approximately 450 miles from their destination, the crew received a GREEN RSVR LO LEVEL ECAM message and observed the green hydraulic system pressure cycling down to zero[cite: 38, 40]. The crew prepared for a gravity gear extension, held to configure the aircraft, and executed a safe landing with priority handling[cite: 45, 46, 48]. After landing, fire crews reported smoke coming from the #2 engine, prompting the crew to shut down the engines and have the aircraft towed to the ramp[cite: 51, 52, 55].",aircraft,"The aircraft label applies here due to a cascade of physical mechanical failures, beginning with a hydraulic leak and culminating in an engine smoke event[cite: 38, 40, 51]. These events map directly to the ""Engine & Powerplant Failures"" and ""Landing Gear & Brake Issues"" (via hydraulic loss) detailed in the reference guide[cite: 40, 51]. It is not classified as Manuals despite the crew noting missing ECAM procedural steps, because the missing text was secondary to the critical hydraulic failure that initiated the emergency[cite: 38, 39]. It is entirely distinct from Human Factors as the crew successfully managed a high-workload, complex hardware failure without committing handling errors[cite: 45, 46, 47].",Narrative 1 - 'Approximately 450 miles from ZZZ; ECAM message: GREEN RSVR LO LEVEL. Crew confirmed validity of message on overhead panel and on HYD Systems Page.Crew Complied with ECAM Actions:GREEN PUMP 1 OFF GREEN PUMP 2 OFFBRK - A/SKID ALTN/ON(At this time; no additional procedural steps displayed on ECAM; and PITCH FEEL 1 and SPLR 6 lights NOT illuminated) Note: ECAM indications cycled continually during remainder of flight.Crew reviewed QRH and AOM for additional information. (Crew noted that PROC: L/G GRAVITY EXTENSION was a requirement with Green System failure which was NOT displayed on ECAM). Crew observed HYD Pressure on HYD SYSTEMS Page continually cycling from approximately 2;400 psi to 0 psi. Crew transferred aircraft control to Captain. Crew established ACARS comm with company and unsuccessfully attempted voice comm. Crew established phone patch with company on ARINC and requested communication with System Matter Expert (SME). Communication with SME was not successful due to poor reception. Crew reverted back to ACARS comm with Company. Note: Eventually additional procedural step displayed on ECAM for: L/G GRAVITY EXTENSION in addition to PITCH FEEL 1 and SPLR 6 lights on overhead panel. Crew discussed situation and plan of action which would include Gravity Extension of Gear. Crew elected to request hold at 12;000 ft. approximately 25 miles from ZZZ airport in order to complete all checklists; brief approach; compute landing distance; consider fuel remaining and potential Go-Around; discuss brake usage during landing roll; and to configure aircraft early due to anticipated slow movement of slats/flaps. Crew elected to request priority handling; anticipating the possibility of having to stop on the runway. Crew elected to start APU during hold; anticipating shutting down engines following landing to allow towing of aircraft to ramp.ILS Approach and landing to Runway X ZZZ was uneventful and crew was able to clear the runway following landing. Crew established comm with fire/rescue crew. Fire Crew reported smoke coming from #2 Engine. With no additional fire indications in cockpit; crew elected to shut down the #2 Engine. Fire crew reported smoke subsided. Crew established comm with ZZZ Maintenance staff and then shut down #1 engine. ZZZ Maintenance staff directed crew to pull the #2 Fire Handle; without actuating fire bottles. Aircraft was towed to ramp.',aircraft
2193751,"During the takeoff roll at 80 knots, the aircraft rejected takeoff, and the Captain later informed a flight attendant that her cabin door handle had flown up[cite: 58, 59, 61]. Despite the flight attendants re-securing the door and requesting maintenance due to safety concerns, the Captain insisted on attempting a second takeoff and asked the flight attendant to physically hold the handle[cite: 63, 65, 69, 71]. The crew refused to fly out of safety concerns, resulting in the aircraft eventually being taken out of service by maintenance[cite: 72, 73].",aircraft,"This is classified as aircraft because the initiating event was a mechanical failure of the cabin door handle disengaging during the takeoff roll[cite: 61, 63]. This fits within the physical hardware and system failures encompassing the aircraft's physical structure[cite: 61]. While the narrative heavily features elements of Company Policy and Procedure regarding the Captain's controversial decision to avoid maintenance and the resulting crew conflict, the assigned aircraft label strictly reflects the underlying physical fault that triggered the aborted takeoff[cite: 61, 71, 75]. It is not Staffing or Human Factors as the root hazard was a defective door mechanism, not a lack of personnel or a pilot handling error[cite: 61, 73].",Narrative 1 - 'Final leg of our trip ZZZ-ZZZ1 Flight XXXX on the 737 aircraft. We closed the door on time; all procedures for arming and cross-checking the doors were done; all flight attendants (FAs) witnessed each other pushing down on the 737 door handle. All call was completed. We taxied to the runway; and we began to take off at 80 kts.; the plane slammed on the breaks and aborted take off. No information was relayed to the passengers or crew. Approximately 10 minutes passed before FAs received a call from the Captain confirming an aborted takeoff; and informed Flight Attendant A that her door handle had flown up during take off. Captain suggested Flight Attendant A double check her door handle. Flight Attendant A pushed door handle down about an inch and heard the handle/door re-secure in place. Flight Attendant A reiterated to Captain that the door handle was pushed down and armed correctly at the gate; and Flight Attendant C witnessed. Captain then advised that Flight Attendant A hold on to the door handle during the second take-off attempt to make sure it didn't fly up/disengage again. Captain then gave a PA explaining that the issue 'fixed itself' and that we would take off again shortly. After the Captain announced 'prepare for takeoff;' a passenger from the exit row rushed to the back and expressed he did not feel safe to continue to fly. Captain heard the conversation between Flight Attendant A and Flight Attendant B on the interphone and requested FAs convince the passenger to continue on. Passenger declined and we returned to the gate. Flight Attendant C entered flight deck and spoke with the Captain for several minutes requesting maintenance to check the aircraft due to the aborted landing. She explained she did not feel safe to continue and that there was a serious door handle issue. Captain continued to insist the aircraft was safe; but Flight Attendant C was not satisfied with this answer. As a result; the crew expressed a need to follow safety protocol and have the faulty door checked by Maintenance. After Maintenance checked the aircraft; the aircraft was taken out of service.The crew continued to express that we were not refusing to fly/work the flight; as it was important for us to get home. However; due to the Captain's original decision to avoid Maintenance and attempt a second takeoff; as well as his request to Flight Attendant A to hold on to the door handle during takeoff; the crew did not feel safe flying with him. Flight Attendant A called and requested new pilots. Request was denied and FAs were removed from the flight.Suggestions: We are suggesting pilots to follow safety protocol and support FA safety concerns.',aircraft
1969884,"A pilot broadcasted that she had lost all engine power and was preparing to land in a nearby field[cite: 78]. The local controller immediately cleared pattern traffic and began coordinating an emergency response[cite: 79, 80]. The pilot subsequently restarted the engine, returned to the field, and landed without incident[cite: 80, 82].",aircraft,"The aircraft label is assigned because the primary problem was a total loss of engine power, which is explicitly listed as a key indicator under ""Engine & Powerplant Failures"" in the reference guide[cite: 78]. The incident revolved entirely around the aircraft's mechanical inability to sustain thrust[cite: 78, 80]. It is not classified as Environment - Non Weather Related because there is no mention of external factors like bird strikes or fuel starvation causing the failure[cite: 78, 83]. It is also not a Procedure event, as both the pilot and ATC executed their emergency protocols effectively to resolve the hardware emergency[cite: 79, 81].",Narrative 1 - 'The pilot called the local position up 'in the blind' stating that she had lost all power to the engine and would be landing in a nearby field. I ended training and begin landing all pattern traffic while clearing out departures. Began calling 911 to start towards the aircraft. It was about that time the aircraft called that she had restarted the engine and believed she could make it back to the field. I cleared her to land Runway XX and asked she required any assistance on the ground; in which she responded to the negative. She landed without incident. I don't believe any kind of recommendation could have prevented this occurrence.',aircraft
2213653,"During two separate visual approaches, flight crews received erroneous EGPWS terrain alerts at very low altitudes (30-50 feet) while fully configured and stabilized on the glidepath[cite: 83, 85]. In the first narrative, the crew executed an escape maneuver, while in the second, the crew landed normally without incident because they had the runway in sight and determined the alert was a mistake[cite: 84, 85].",aircraft,"Based on the updated reference guide logic, this is classified as aircraft because the erroneous EGPWS alerts are attributed to an unverified hardware sensor malfunction or radar altimeter fault rather than a known software programming error[cite: 83, 85]. Both crews verified they were on the correct glidepath with no obstacles, isolating the issue to the aircraft's internal warning systems[cite: 83, 85]. It is not classified as Software and Automation because there is no evidence of a systemic database error or logic flaw[cite: 83, 85]. It is also not Human Factors because the crews were flying stabilized approaches and were not responsible for triggering the false mechanical warning[cite: 83, 85].","Narrative 1 - 'We received a EGPWS 'TOO LOW; TERRAIN' Alert at 30-50 feet. VMC Day PAPI OTS (out of service) flying ILS XXL ZZZZ. We adhered to SOP by taking positive action until the alert stopped. We actually didn't have any obstacles in our path since we were stable on the GS; maybe it was erroneous as the alert sounded once. The Aural Alert was not due to incorrect Flaps or Landing Gear configuration; and since it was a stabilized approach; I'm not sure what warranted a EGPWS alert. SOP X.X.X EGPWS RECOVERYA. In day visual conditions with terrain and obstacles clearly in sight; immediately take positive corrective action until the EGPWS warning/alert stops; terrain clearance is assured; and advise ATC.Suggestions: Things that we could have done better was just doing the EGPWS Escape procedure and tried the approach again.'
Narrative 2 - 'We received a EGPWS 'TOO LOW; TERRAIN' alert during the flare to runway XXL at ZZZZ. It was day VFR; the aircraft was approximately 30-40 feet and over the touchdown zone. The aircraft was in the landing configuration with the landing gear down and flaps 5. The CA and I did not perform the EGPWS procedure as we were directly over the runway and on centerline; there was no need for the EGPWS procedure or a go-around to be called as that would created a bigger threat. We believed the alert went off by mistake. The plane landed fine without incident.'",aircraft
2010728,"During the initial climb after a normal takeoff roll, a flight instructor and student experienced continuous engine RPM surges from 2300 down to 1000[cite: 90, 91]. The instructor immediately took control, declared an emergency, and executed a 180-degree turn to land safely on a parallel runway[cite: 92, 93, 94]. Post-flight maintenance discovered a leak in the fuel line[cite: 98].",aircraft,"This incident is classified as aircraft because the root cause was a physical fuel line leak that led to engine power loss and RPM surges, directly aligning with the ""Engine & Powerplant Failures"" category[cite: 91, 98]. The mechanical failure of the engine hardware forced an emergency landing[cite: 94, 98]. It is not classified as Incorrect / Not Installed Part because the report does not indicate the leak was caused by a botched maintenance installation prior to the flight[cite: 87, 98]. Furthermore, it is not Human Factors because the instructor executed a flawless transfer of controls and emergency return, proving the issue was entirely mechanical[cite: 92, 95].",Narrative 1 - 'At approximately XA:30 pm my student and I were departing from ZZZ to practice commercial maneuvers. After a normal runup and following all procedures as prescribed in the POH; we lined up on Runway XXL. My student was pilot flying at the time. She applied full throttle and we both verbally confirmed 'Engine instruments in the green' meaning and confirming that oil temperature; oil pressure; fuel pressure; and RPM were all within normal range. We were achieving approximately 2300 RPM on our takeoff roll and RPM was steady. After rotation and during our initial climb we experienced RPM surges from 2300 down to 1000 and back up to 2300 continuously. I immediately took control and verbally called out 'my controls' which were confirmed through a three way positive exchange of controls. I called Tower and announced that we were experiencing RPM loss. I made the decision to do a 180 back to the parallel Runway (XYR). I followed all emergency procedures for Engine Power Loss in Flight as prescribed in the POH and confirmed that oil temperature; oil pressure; and fuel pressure were still 'in the green.' I [requested priority handling] with Tower as I turned a right crosswind/base off of XXL for XYR and was cleared to land on XYR. We landed safely on the runway and maintenance found that there was a leak in the fuel line.',aircraft
