,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1235592,manuals,January 2015; I received a call from ZZZ Line Maintenance Technician X. An A320 Aircraft had a popped Circuit Breaker (C/B) L32; which was for Left gear brake fan. Technician X stated when C/B was pushed in; an [electrical] arc was seen on [Left] gear. ZZZ inspected the left gear conduit. I asked if the conduit was secure. He said it was secure; but with a burn mark. I said we need to contact engineering. We had a 3-way conference with company Engineer X. I had concerns from last year; many Airbus's had problems with landing gear conduits. I ask if we could dispatch aircraft in this condition. Engineer X checked his records and did not find any documents that we had to stop the aircraft. A Brake Steering Control Unit (BSCU) Bite check showed no faults. A review of MEL 32-48-01a; has no Maintenance (M) or Operations (O) procedures for this condition. C/B's L32-L35 were pulled and collared per Typical Repair (TR) 32-00-14; Brake Fan MEL 32-48-01a.On Takeoff out of ZZZ; A320 aircraft had an Auto Brake Fault. [Airbus] Web Airman showed Tachometer-1 fault. We had the aircraft divert to ZZZ1 for repairs; due to the fact it was going to a Non-maintenance station. Mechanics have pressure to move aircraft on Time. The aircraft was fully loaded and ready to go. The popped breaker was pulled and collared; but no thought was giving to other system wires damaged. Engineering was contacted. ZZZ did do a Bite check for other faults; but none found. We believed at the time the only damage was to the Brake Fan system. ZZZ1 maintenance found that the wire harness was damaged; which made Tachometer-1 fail. ZZZ1 [Maintenance] replaced the bad harness. The Airbus desk is very understaffed. Operations put great pressure on maintenance to move the aircraft. I have been told many times by dispatch; we do not change the Aircraft for maintenance convenience. The Typical Repair or the MEL should give more guidance [for] Landing Gear conduits. Maintenance Operations Center (MOC). Technician. Maintenance Control.,
1237349,manuals,While using the iPad to look up answers during our Advanced Qualification Program (AQP) oral it became obvious that it has a serious shortcoming. The iPad has no compete table of contents that can be looked at once like a paper manual. If you were to look at a paper manual table of contents you would at a glance see the subject you are looking for. With an iPad you tap on the subject and then get a tab behind a tab etc. i.e. FOM - Policy>Flight>Standard Callouts. If you click on the wrong tab to find something you have to back out of 'the rabbit hole' and look elsewhere. It's very hard to find things. The Performance Manual has no index or tab to find specific airport performance and turn procedures. The only way to get to an airport is to scroll along to find it. Very hard to do in flight. The search function is almost useless. For example: type EAT in the Performance Manual to find Wenatchee and it will find many answers like great Falls etc.A simple complete table of contents and tabs for each airport in the Performance Manual will solve this problem.,
1237479,manuals,While on the RODIO2 RNAV Arrival into San Antonio (KSAT); the ATIS informed us Runway 4 was in use. The Pilot Flying entered the Runway and ILS 04 in the FMS while I checked the chart.  While comparing the waypoints he mentioned that the FMS had us going over TROOP and CRISS intersections. At first glance I thought runway 4 would take us over the southern arrival gate using POYIG and BERNE; then saw the note at CRISS that listed Runways 4; 12R; 30L so I agreed we would be using CRISS.  Shortly; the approach controller asked if we were on the RWY 4 arrival course and I confirmed we were and expecting RWY 4. He came back in a minute and gave us a heading.  I thought that might mean we were on the wrong one so I checked again and noticed that the note at CRISS stated 'LANDING OTHER THAN SAN ANTONIO INT'L RWYS 4; 12R; 30L'. I asked if we should rejoin and we were cleared to.Then we had to resolve why the FMS had kept the wrong transition points. We don't know exactly but I found that to get the correct ones I not only had to enter the RWY and APPROACH but if I selected the STAR that it changed the waypoints to the correct transition.  It is now my conclusion that when the flight plan was filed; the RODIO2 was filed without a runway; but the CRISS arrival transition was in the flight plan. We were cleared as filed so these remained in the flight plan as it was loaded in the FMS.  The waypoints were correct but the RODIO2 was not in the FMS as a STAR; merely as waypoints that were chosen from the flight planning software for filing.My mistake was obvious (misreading the note) but aggravated and allowed by the FMS issue which caused me to believe my mistake.  I would think that avoiding words like 'OTHER THAN' would avoid missing this negative reference to the runways that are NOT intended.,
1238261,manuals,During preflight; the first officer noticed on the HYD ECAM page that the line extending up from the blue pump was green instead of amber as it should be with no Blue System pressure. The System was otherwise indicating no pressure. We entered the discrepancy in the log book and called maintenance. The maintenance technicians were instructed by Maintenance Control to apply MEL 29-30-03F; ECAM HYD Page Indications; System Pressure.  I was uncomfortable with the validity of this MEL as our Flight manual indicates that system pressure is depicted by the three numerical values at the top of the ECAM page only. I brought this up to the maintenance technicians who were applying the MEL and they said they were doing what Maintenance Control had instructed them to do and assured me that that green line was; indeed; a pressure indication. I objected and asked them to provide some form of documentation to show that this fell under the MEL they were applying. Maintenance Control was not willing to provide any documentation; but the technicians provided some documentation that this was a pressure indication.... Still not comfortable; I tried to call scheduling to get a number to talk to a chief pilot but sat on hold for quite some time. I also tried to look up some reference which would give me an idea of whether this MEL was appropriate. As we no longer have any kind of a Systems book other than the A320 training manual; which is too vague for this purpose; I was unsuccessful in that endeavor. At this point; I had nothing other than a vague recollection from my original systems training in 1996 that this was different from a system pressure; and the people whose job and responsibility it is to determine what is an appropriate MEL all assured me that it was correct. At this point we looked again at the ECAM HYD page and noticed the line had turned amber (normal). At that point; since the problem was clearly documented the fault no longer existed and we couldn't find anything excluding this fault from the MEL; we decided to depart.After we departed; I was still uncomfortable; so I looked again at the MEL for more definitive information. The one thing that I noticed is that for this MEL; it states that there are three installed and one may be inoperative. Because there are three numerical pressure indications at the top of the ECAM page; I feel this casts some doubt on the appropriateness of this MEL for this particular failure.The main reason the event occurred is that the MEL and Flight manuals are not specific enough; in my humble opinion to determine if this is an appropriate MEL for the system failure being addressed. Also; I have been told things by local maintenance in the past that turned out to be not correct. I can't name a case where Maintenance Control was incorrect; but after a few experiences; I don't trust maintenance to tell me what I can and cannot fly with without clear documentation. In order to be more sure of our actions; and not delay flights with maintenance issues; we need someone we can easily and quickly contact during all operating hours; whom we trust; to discuss such issues. This is a complicated airplane and history has shown me that maintenance is not that someone.  When writing an MEL; it must be impossible to think of all the scenarios which may occur like this. That is; cases where it is unclear if an MEL is appropriate. It would be helpful in this case if a note were added to the MEL including or excluding the green line in question. It would also be helpful if the Flight manual labeled this green line. I was unable to find a reference anywhere describing exactly what it is....Please understand; that like most pilots at this airline; I want to operate a safe aircraft and I want to operate on time. I find ambiguity in the operation to be my large impediment to attaining this goal.,
1242832,manuals,Just near time of departure one passenger indicated he had lithium camera batteries in his carry on roller bag that there was no room for on the plane. The A flight attendant correctly noted that restrictions apply to this. She knew there was a restriction; but not what it was. She asked the agents to resolve the situation. The agents; nor their supervisor did not have an understanding of the restrictions. My copilot found that our manuals did not contain this information. Since there seemed to be an impasse; I decided to go and see if I could help. The flight attendant found their manual. As I read the page it seemed to me that a passenger could have two batteries installed; and two that were spares but protected; on board. I also read they could have two protected spares in a checked bag. (His bag was going to be checked.) I had him carry on his two cameras; two spares with covers on board and pack two spares with covers in his gate checked bag. According to his count this left one battery left over that was left with the agents to be taken to the baggage area to be held. The next day the A flight attendant told me I had mis-read the restrictions and that would be reflected in her report. I should have left the issue to the ground staff to resolve.,Bottom line...passenger had boarded last...with a suitcase full of cameras...and lithium batteries...he was told to stow it onboard; I told him I would hold it and look into where we would put it...I contacted the [manual].  I looked up hazardous/approved lithium non ionizing batteries in my manual; the agents (3) were out on the jetway near the bag...I paged for the pax to come up...I asked him to open and identify to us what exactly he had in there....he had at least 7 LARGE lithium batteries and a few cameras.He was allowed to bring on 2 cameras with the lithium batteries installed; one in each pocket of his jacket; 2 in a plastic bag (not installed) to into the cargo; and a bag to leave behind the remaining batteries. I was not comfortable with the batteries in the cargo uninstalled....a ground crc/ops/cargo/lead agent was brought up to the jet way...the Captain; First Officer; ground personnel and 3 agents made these determinations based on their interpretation of my manual. With our Flight Attendant training and studies of inflight fires re: lithium batteries...this did not ring right....Please have all carrier personnel who are relating to passengers and their carry ons with approved hazardous materials....csa's; cargo; maintenance; ops; crc; pilots; everyone in a need to know position to have approved hazardous items re: Lithium non -ionizing batteries accepted FLOW CHART/re: onboard stowage and cargo specifics...we all need to be on the SAME PAGE with the SAME INFO!THANK YOU!
1245578,manuals,I reported for an all-nighter to ZZZ. I was in the back computer area checking in and trying to connect my iPad to the Wi-Fi provided. I knew I had one update that was needed in my Jeppro app. I tried numerous times to get the update to load but it would not finish the process. At that time I decided I need to get to the gate for our departure time. I figured I could update at the hotel when I arrived for the overnight. Upon checking into the room I went to work and had the same result of not being able to finish the download. I have read in [Company] messages hotel have trouble sometimes with bandwidth; I believe I experienced that issue at the hotel and in the computer area of the lounge in ZZZ1. At this point I went to bed and was going to try in the morning before our departure for the airport. To no avail the update would not upload. We proceed to ZZZ and as we our running our preflight duties a federal inspector came on board to preform and line check. I immediately notified him of my situation of lacking an update in my Jeppro app. He told me I need to ASAP this situation; I have read the [company] messages about keeping your iPad up to date. All I can say is that I tried to comply to the best of my ability in this situation. The federal inspector did provide good insight on how to avoid this in the future as in; check the airport Wi-Fi for example ZZZ is free; mobile hotspot off your phone. That is what the inspector did to get the update on my iPad. I can say I have gone this route and now have mobile hotspot on my phone to prevent this from ever coming up again. I do believe with my mobile hotspot and how the inspector went through the steps on using one and now having my own this will never happen to me again.,
1261582,manuals,Briefing student pilot on depressurization routes in South America; they brought an issue to my attention. The South America section of the flight manual still has old depressurization escape route pages. There are two concerns with these charts:1. These pages should be copied into the SKBO (Bogota) Jeppesen pages for quick reference for arrival and departure flights in and out of SKBO.2. There are 3 pages that describe the procedures in a different format that the other traditional escape route map formatted pages with text and map all on one page. Having to flip back and forth between a map and text page is unnecessary and burdensome; especially with an emergency requiring an escape route. These could be combined onto one single page that is formatted like all the other South America and Greenland terrain depressurization escape route pages.Bogota is challenging enough. Making the critical information easier to read and more accessible is essential to a safer operation.,
1265550,manuals,Aircraft was in level flight at 33;000 feet when the captain's side windshield shattered. Followed Emergency/Non-Normal Checklist and descended down to 25;000 feet and adjusted cabin pressure to 6.2 ^p. Monitored situation and continued on to planned destination. No further incident or action.My only concern was the structure of the checklist. The sixth item on the checklist states:DESCENT..............Initiate if required.There is no guidance in the checklist advising you why you would initiate a descent. The only guidance is in a memo dated back [a few months back]. It was my quick-thinking first officer who had this memo stored on his iPad that remembered it. I remembered the memo but did not remember the specific guideance for making a command decision. It would have been very valuable to have the information about getting the cabin pressure to a ^p of 6.2 written in the checklist itself.,
1270613,manuals,Flight from DEN was originally cleared EEONS4 SID.  On taxi out to runway 8 in Denver; ground told us to contact clearance delivery for a re-route.  Clearance asked us if we had the Coded Departure Routes (CD-R) onboard; and we replied in the affirmative.  We were cleared the DENZZZ1 CD-R which reads KDEN YOKES4 DEHLI ONL…We pulled into the EE run up pad near runway 8 and the First Officer entered the route while I sent a message to dispatch with the new routing.  The FO and I reviewed the altitudes on the new departure and ran the Before Takeoff Checklist.  Our takeoff clearance was 'Turn left heading 025 degrees; cleared for takeoff runway 8.' After switching to departure frequency; passing about 8;500 feet we were cleared direct to YOKES; climb and maintain 16;000. Before we were level at 16;000 we were cleared to FL230. The Flight Management Computer showed YOKES DEHLI ONL.  After YOKES on Denver Center frequency we were given a 025 degree vector.  A while later Center told me to call them when on the ground.  Neither the FO; both jumpseaters; nor could I figure out what we had done wrong.When I called Denver Center; I was informed that the correct departure routing is from YOKES to CHICI and thence to DEHLI; and that several other aircraft/aircrews had experienced the same misunderstanding.  Apparently; flying direct from YOKES to DEHLI impinges on the arrival corridor.  When I zoomed in on my iPad to verify the crossing altitudes; I didn't notice the Enroute Transitions box in the upper left hand corner of the chart; and the FMC did not load CHICI between YOKES and DEHLI.  The controller told me over the phone that 'it may be a problem in some aircraft's FMS.' Between the late clearance; the ambiguity of the CD-R; and the incorrect FMC routing; there were several threats present.  Denver seems to be one of the only airports I can remember operating into that has several different areas on the chart for routings.,
1270972,manuals,We briefed the ILS approach for 22L prior to descent into DTW.  During the descent we were given a hold clearance which we programmed into the FMC. Just prior to the hold we were then given vectors for the arrival and told to expect the ILS 22R. We briefed the first ILS approach on the Jeppesen list for 22R (ILS Y 22R) tuned the radios and proceeded in on a vector to intercept.  The controller then cleared us for the ILS Z 22R and told us to maintain 4000 ft till established with a fix that didn't appear on our map. At that moment we both recognized that the approach that we loaded wasn't what we were cleared for and then we quickly re-tuned the radios; fixed the box for the ILS Z 22R and flew the approach without incident.Our biggest concern is that there is a HUGE difference between the 'Y' and 'Z' ILS approaches to the same runway (frequency; in-bound course; decision altitude; etc.) and when selecting the first ILS for 22R in the Jeppesen application and in the FMC you will select an ILS that is potentially different than the one intended by ATC. We were dodging severe weather and may have missed the 'Z' statement from ATC (our mistake) however because of the dynamic environment we were in it was a mistake that could easily have been made.I suggest that a note be put into the 10-7 pointing out the significant differences between the ILS's to 22R (Y and Z) so that another crew won't make the same mistake.,
